Price,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,FLG$U,BRLS,FLG$U,FLGT,FLGV,FLIA,FLNC,THCH,BRLS,FLG$U,FLGT,FLGV,FLIA,FLNC,THCH,BRLS,FLG$U,FLGT,FLGV,FLIA,FLNC,THCH,BRLS,FLG$U,FLGT,FLGV,FLIA,FLNC,THCH,BRLS,FLG$U,FLGT,FLGV,FLIA,FLNC,THCH
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-29,,,,9.180000305175781,,,,,,,10.899999618530273,,,,,,,9.020000457763672,,,,,,,9.210000038146973,,,,,,,2412300,,,,
2016-09-30,,,,9.220000267028809,,,,,,,9.720000267028809,,,,,,,9.149999618530273,,,,,,,9.350000381469727,,,,,,,410000,,,,
2016-10-03,,,,10.390000343322754,,,,,,,10.4399995803833,,,,,,,9.300000190734863,,,,,,,9.300000190734863,,,,,,,211300,,,,
2016-10-04,,,,9.949999809265137,,,,,,,10.680000305175781,,,,,,,9.710000038146973,,,,,,,10.260000228881836,,,,,,,133500,,,,
2016-10-05,,,,9.569999694824219,,,,,,,10.079999923706055,,,,,,,9.5,,,,,,,9.949999809265137,,,,,,,72700,,,,
2016-10-06,,,,9.640000343322754,,,,,,,9.880000114440918,,,,,,,9.619999885559082,,,,,,,9.619999885559082,,,,,,,65900,,,,
2016-10-07,,,,9.755000114440918,,,,,,,9.979999542236328,,,,,,,9.619999885559082,,,,,,,9.979999542236328,,,,,,,27400,,,,
2016-10-10,,,,9.800000190734863,,,,,,,9.819999694824219,,,,,,,9.710000038146973,,,,,,,9.710000038146973,,,,,,,14800,,,,
2016-10-11,,,,9.6899995803833,,,,,,,9.729999542236328,,,,,,,9.619999885559082,,,,,,,9.71500015258789,,,,,,,100100,,,,
2016-10-12,,,,9.619999885559082,,,,,,,9.720000267028809,,,,,,,9.619999885559082,,,,,,,9.720000267028809,,,,,,,16300,,,,
2016-10-13,,,,9.399999618530273,,,,,,,9.680000305175781,,,,,,,9.399999618530273,,,,,,,9.619999885559082,,,,,,,37100,,,,
2016-10-14,,,,8.609999656677246,,,,,,,9.4399995803833,,,,,,,8.550000190734863,,,,,,,9.399999618530273,,,,,,,70600,,,,
2016-10-17,,,,8.140000343322754,,,,,,,8.84000015258789,,,,,,,7.591000080108643,,,,,,,8.84000015258789,,,,,,,65000,,,,
2016-10-18,,,,8.170000076293945,,,,,,,8.447999954223633,,,,,,,8.0,,,,,,,8.07800006866455,,,,,,,39400,,,,
